"Season","Colony","ring","sex","Mate_ID","Focal_Seasons","Mate_Seasons","Mate_min_Seasons","Focal_min_Seasons","predation","Pair","julian_date_first","days_to_last_brood","total_pair_duration","total_pair_duration_nogaps","N_Clutches_Pair","N_Clutches_Focal","breeding_exp_pair_nogaps","breeding_exp_Focal","breeding_exp_Focal_nogaps","breeding_exp_Mate","breeding_exp_Mate_nogaps","breeding_exp_Focal_days_season","breeding_exp_Mate_days_season","N_of_life_partners_Focal","N_of_life_partners_Mate","breeding_exp_pair_days_season","tot_fitness","N_eggs_season","Season_Focal","Season_Mate","season_length_population","recruitment_age_Focal","recruitment_age_Mate","Clutch_size_pair_season_mean","N_Clutches_Mate","N_Clutches_Pair_succ","N_hatched","lifespan_min_Focal","lifespan_min_Mate","lifespan_exact_Focal","lifespan_exact_Mate","prop_succ_breeding_attempt","Focal.cohort","Mate.cohort","season_length","season_of_protection","Col_Size","season_start","Min_Age_Focal_season_days","Min_Age_Mate_season_days","breeding_exp_pair_days_season_earliest","breeding_exp_Focal_days_season_earliest","breeding_exp_Mate_days_season_earliest","Min_Age_Focal_season_days_earliest","Min_Age_Mate_season_days_earliest"
"2015/2016",20,"BH85277","1","BJ12632",4,NA,1,5,"natural","BJ12632_BH85277",10,79,2,2,5,6,1,3,3,1,1,881,233,2,2,233,0,15,"2015/2016_BH85277","2015/2016_BJ12632",321,3,NA,3.4,5,NA,4,6,3,6,NA,NA,2011,NA,312,NA,42,"2015-10-11",1946,639,0,648,0,1713,406
"2015/2016",20,"BH76608","1","BH94372",NA,2,2,7,"natural","BH94372_BH76608",237,85,2,2,1,1,1,2,3,1,1,874,29,2,2,0,0,3,"2015/2016_BH76608","2015/2016_BH94372",321,NA,3,3,2,NA,3,8,4,NA,4,NA,NA,2013,85,NA,42,"2016-05-25",2491,943,0,874,0,2491,914
"2015/2016",21,"BH88660","1","BH85197",NA,NA,1,5,"natural","BH85197_BH88660",227,95,2,2,1,1,1,3,3,1,1,942,0,2,1,0,1,2,"2015/2016_BH88660","2015/2016_BH85197",321,NA,NA,2,1,1,2,8,2,NA,NA,1,NA,NA,95,NA,12,"2016-05-15",2076,258,0,942,0,2076,258
"2015/2016",27,"BH94426","1","BJ17259",3,NA,1,3,"natural","BJ17259_BH94426",211,7,2,2,2,5,1,2,3,1,1,961,104,2,2,104,3,7,"2015/2016_BH94426","2015/2016_BJ17259",321,1,NA,3.57142857142857,2,1,NA,4,2,4,NA,0.5,2012,NA,111,NA,28,"2016-04-29",1322,362,0,777,0,1138,258
"2015/2016",27,"BH94426","1","BJ17259",3,NA,1,3,"natural","BJ17259_BH94426",211,7,2,2,2,5,1,2,3,1,1,961,104,2,2,104,3,7,"2015/2016_BH94426","2015/2016_BJ17259",321,1,NA,3.57142857142857,2,1,4,4,2,4,NA,0.5,2012,NA,111,NA,28,"2016-04-29",1322,362,0,777,0,1138,258
"2015/2016",27,"BH94423","1","BH94868",3,3,3,3,"natural","BH94868_BH94423",113,97,4,4,4,4,3,3,3,3,3,834,834,2,1,834,2,14,"2015/2016_BH94423","2015/2016_BH94868",321,1,1,3.57142857142857,4,1,3,5,4,5,4,0.25,2012,2012,209,NA,28,"2016-01-22",1232,1242,722,722,722,1120,1130
"2015/2016",27,"BH94423","1","BH94868",3,3,3,3,"natural","BH94868_BH94423",113,97,4,4,4,4,3,3,3,3,3,834,834,2,1,834,2,14,"2015/2016_BH94423","2015/2016_BH94868",321,1,1,3.57142857142857,4,1,2,5,4,5,4,0.25,2012,2012,209,NA,28,"2016-01-22",1232,1242,722,722,722,1120,1130
"2015/2016",27,"BH88765","1","BH94668",3,NA,3,3,"natural","BH94668_BH88765",4,87,4,4,5,5,3,3,3,3,3,946,946,1,1,946,2,16,"2015/2016_BH88765","2015/2016_BH94668",321,1,NA,3.25,5,1,3,4,4,4,NA,0.2,2012,NA,318,NA,28,"2015-10-05",1298,1204,715,715,715,1067,973
"2015/2016",27,"BH88765","1","BH94668",3,NA,3,3,"natural","BH94668_BH88765",4,87,4,4,5,5,3,3,3,3,3,946,946,1,1,946,2,16,"2015/2016_BH88765","2015/2016_BH94668",321,1,NA,3.25,5,1,2,4,4,4,NA,0.2,2012,NA,318,NA,28,"2015-10-05",1298,1204,715,715,715,1067,973
"2015/2016",27,"BH88765","1","BH94668",3,NA,3,3,"natural","BH94668_BH88765",4,87,4,4,5,5,3,3,3,3,3,946,946,1,1,946,2,16,"2015/2016_BH88765","2015/2016_BH94668",321,1,NA,3.25,5,1,0,4,4,4,NA,0.2,2012,NA,318,NA,28,"2015-10-05",1298,1204,715,715,715,1067,973
